record_id,print_edition,size,frame,sold,distributor,action,decision,reason
recZbyoZySRkkUdwx,Lymington - 67,Small,Framed,checked,Direct,SKIP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recyik4uv6qDIA31i,Lymington - 67,Small,Framed,checked,Yarmouth Gallery,KEEP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recpxTwH5pFYZSh3B,Lymington - 109,Large,Framed,checked,Perera,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recWVN72WW92iypbX,Lymington - 109,Large,Framed,checked,Perera,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recrRqKsXk64XV6JB,Lymington - 132,Large,Framed,checked,KENDALLS,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recOkCmkqM0Q0279o,Lymington - 132,Small,Framed,checked,Direct,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
reczjDYYPaaVrOUdA,Lymington - 161,Large,Framed,checked,Perera,KEEP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recaBF6c7VaZaOGgK,Lymington - 161,Large,Framed,checked,Perera,SKIP,KEEP_SOLD,"Exact duplicates, keeping sold version"
recPdlBsbPbJOpSzN,Lymington - 178,Large,Framed,checked,Seaview Gallery,SKIP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recHijmzMQrElOd72,Lymington - 178,Large,Framed,checked,Direct,KEEP,KEEP_LATEST_SALE,"Multiple distributors, keeping latest sale"
recLwMkOe1kS33VQp,Lymington - 194,Large,Tube only,checked,Direct,SKIP,KEEP_FRAMED,"Different frames (Framed, Tube only), keeping Framed version"
recvf39qo0wOCwGJO,Lymington - 194,Large,Framed,checked,Direct,KEEP,KEEP_FRAMED,"Different frames (Framed, Tube only), keeping Framed version"
recGQggpYBcbwGDXd,Needles - 98,Small,Mounted,checked,La Wode,SKIP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
recJNpdz5SvZfQclt,Needles - 98,Large,Framed,checked,Seaview Gallery,KEEP,KEEP_LARGE_SOLD,"Different sizes (Large, Small), keeping Large sold"
